X,Acidithiobacillus_ferrooxidans.txt,Streptococcus_mutans.txt,
iron_aquisition-iron_transport,0.6555227794165848,2.1085925144965736,
iron_aquisition-heme_transport,0.0,0.0,
iron_aquisition-heme_oxygenase,0.0,0.0,
iron_aquisition-siderophore_synthesis,0.0,0.0,
iron_aquisition-siderophore_transport,12.45493280891511,2.1085925144965736,
iron_gene_regulation,0.3277613897082924,1.0542962572482868,
iron_oxidation,1.3110455588331695,0.0,
possible_iron_oxidation_and_possible_iron_reduction,0.0,0.0,
probable_iron_reduction,0.0,0.0,
iron_reduction,0.0,0.0,
iron_storage,0.3277613897082924,0.5271481286241434,
magnetosome_formation,0.0,0.0,
